"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Получение питомца из API. НЕГАТИВНЫЙ ТЕСТ, id  не существует
Swagger: GET /pet/{pet_id} Find pet by ID
","51","Получение питомца из API. НЕГАТИВНЫЙ ТЕСТ, id  не существует","tests.petstore-api","Tue Mar 17 09:28:39 UTC 2026","passed","Tue Mar 17 09:28:39 UTC 2026","","test_about_pet","",""
"Проверка POST запроса и последующего GET запроса на соответствие полей","51","Тест создания питомца со статусом: pending","tests.petstore-api","Tue Mar 17 09:28:37 UTC 2026","passed","Tue Mar 17 09:28:37 UTC 2026","","test_about_pet","",""
"
Обновление по id и проверка через GET
Swagger: POST /pet/{pet_id} Updates a pet in the store with form data
","104","Обновление питомца с данными формы","tests.petstore-api","Tue Mar 17 09:28:37 UTC 2026","passed","Tue Mar 17 09:28:37 UTC 2026","","test_about_pet","",""
"
Получение списка питомцев с конкретным статусом
Swagger: GET /pet/findByStatus Finds Pets by status
","52","Получение списка питомцев с конкретным статусом","tests.petstore-api","Tue Mar 17 09:28:38 UTC 2026","passed","Tue Mar 17 09:28:38 UTC 2026","","test_about_pet","",""
"
Удаление питомца из API.НЕГАТИВНЫЙ ТЕСТ, id  не существует
Swagger: DELETE /pet/{pet_id} Find pet by ID
","51","Удаление питомца из API. НЕГАТИВНЫЙ ТЕСТ, id  не существует","tests.petstore-api","Tue Mar 17 09:28:39 UTC 2026","passed","Tue Mar 17 09:28:39 UTC 2026","","test_about_pet","",""
"
Удаление питомца из API
Swagger: DELETE /pet/{pet_id} Find pet by ID
","102","Удаление питомца из API","tests.petstore-api","Tue Mar 17 09:28:39 UTC 2026","passed","Tue Mar 17 09:28:39 UTC 2026","","test_about_pet","",""
"
Обновление имеющейся записи с помощью PUT и проверка через GET
Swagger: PUT /pet Update an existing pet
","103","Обновление имеющейся записи с помощью PUT и проверка через GET","tests.petstore-api","Tue Mar 17 09:28:39 UTC 2026","passed","Tue Mar 17 09:28:39 UTC 2026","","test_about_pet","",""
"Проверка POST запроса и последующего GET запроса на соответствие полей","52","Тест создания питомца со статусом: available","tests.petstore-api","Tue Mar 17 09:28:36 UTC 2026","passed","Tue Mar 17 09:28:37 UTC 2026","","test_about_pet","",""
"Проверка POST запроса и последующего GET запроса на соответствие полей","52","Тест создания питомца со статусом: sold","tests.petstore-api","Tue Mar 17 09:28:37 UTC 2026","passed","Tue Mar 17 09:28:37 UTC 2026","","test_about_pet","",""
"
Получение списка питомцев с конкретным статусом
Swagger: GET /pet/findByStatus Finds Pets by status
","1056","Получение списка питомцев с конкретным статусом","tests.petstore-api","Tue Mar 17 09:28:37 UTC 2026","passed","Tue Mar 17 09:28:38 UTC 2026","","test_about_pet","",""
"
Получение списка питомцев с конкретным статусом
Swagger: GET /pet/findByStatus Finds Pets by status
","53","Получение списка питомцев с конкретным статусом","tests.petstore-api","Tue Mar 17 09:28:38 UTC 2026","passed","Tue Mar 17 09:28:39 UTC 2026","","test_about_pet","",""
"
Получение питомца из API
Swagger: GET /pet/{pet_id} Find pet by ID
","51","Получение питомца из API","tests.petstore-api","Tue Mar 17 09:28:39 UTC 2026","passed","Tue Mar 17 09:28:39 UTC 2026","","test_about_pet","",""
"
Создание с id, name, photoUrls + проверка через GET
Swagger: POST /pet Add a new pet to the store
","52","Создание питомца с минимальными полями","tests.petstore-api","Tue Mar 17 09:28:36 UTC 2026","passed","Tue Mar 17 09:28:36 UTC 2026","","test_about_pet","",""
